#separator:tab
#html:true
"Frage:<br>
Welche drei Dimensionen sind beim Scoping einer Enterprise Architecture zu beachten?"	"<ul>
<li>Architecture Layer Scope: Betrachtete Architekturebenen</li>
<li>Enterprise Scope: Organisatorischer und geografischer Geltungsbereich</li>
<li>Vertical Scope: Detaillierungsgrad</li>
</ul>"
"{{c1::Die Applikationsebene (Application Layer)}} ist {{c2::eine Ebene über Anwendungssysteme, die von Geschäftsprozessen und Geschäftsfunktionen genutzt werden}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Geschaeftsebene_Applikationsebene_Technologieebene.png"" alt=""""><br />
Geschäftsebene, Applikationsebene und Technologieebene}}}}"	
"{{c1::Die Geschäftsebene (Business Layer}}) ist {{c2::eine Ebene über Geschäftsfunktionen und Geschäftsprozesse}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Geschaeftsebene_Applikationsebene_Technologieebene.png"" alt=""""><br />
Geschäftsebene, Applikationsebene und Technologieebene}}}}"	
"Frage:<br />
In welchem Kontext ist der Einsatz der Strategy Layer in ArchiMate sinnvoll?"	sinnvoll zur Abbildung von Fähigkeiten, Werten, Stakeholdern und strategischen Zielen
"Frage:<br />
Was sind typische Elemente des Strategy Layers in ArchiMate?"	"<ul>
<li>Capability: Fähigkeit, eine bestimmte Wirkung zu erzielen</li>
<li>Course of Action: Geplante Handlung, um Ziele zu erreichen</li>
<li>Resource: Input-Faktoren (z. B. Personal, Budget, Patente)</li>
<li>Outcome: Intendiertes Ergebnis</li>
<li>Value Stream: Sequenzielle Stufen der Wertschöpfung</li>
</ul>"
{{c1::Die Strategy Layer (Strategieebene)}} ist {{c2::eine Ebene über die strategische Organisation und strategische Ausrichtung einer Organisation}}.	
"Frage:<br />
Was ist das Architecture Content Framework in TOGAF und aus welchen Elementen besteht es?"	"<p>Es beschreibt die Bestandteile einer Architektur in TOGAF und differenziert in:</p>
<ul>
<li>Artefakte (beschreibende Modelle, z. B. Prozessdiagramme)</li>
<li>Deliverables (formale Arbeitsergebnisse, z. B. Architekturdefinition)</li>
<li>Building Blocks (modulare Bausteine der Architektur)</li>
</ul>"
{{c1::Das Architecture Content Framework}} ist {{c2::ein Bestandteil von TOGAF für die Beschreibung von Elementen in TOGAF}}.	
"<p>Das Architecture Content Framework besteht aus:</p>
<ul>
<li>{{c1::Artefakte}}</li>
<li>{{c1::Building Blocks}}</li>
<li>{{c1::Deliverables}}</li>
</ul>"	
"<p>Nachteile des Zachman-Framework sind:</p>
<ul>
<li>{{c1::Framework bietet nur eine Struktur und keine Methodik}}</li>
<li>{{c1::hohe Nummern an Zellen erschwert die kontinuierliche Nutzung}}</li>
<li>{{c1::Implementation ist sehr umfangreich}}</li>
<li>{{c1::Zellen besitzen keine festgelegte Modellierungsart}}</li>
</ul>"	
"<p>Kategorien von Enterprise Architecture Frameworks sind:</p>
<ul>
<li>{{c1::Government Frameworks}} (z. B. {{c1::NIST Architecture Framework, TEAF}})</li>
<li>{{c2::Management Frameworks}} (z. B. {{c2::TOGAF, Zachman-Framework}})</li>
<li>{{c3::Manufacturing Frameworks}} (z. B. {{c3::GIM, PERA}})</li>
<li>{{c4::Military Frameworks}} (z. B. {{c4::DoDAF, TAFIM}})</li>
</ul>"	
"Frage:<br />
Mit welchem Modellierungselement wird System Software in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-System_Software.png"" alt="""">"
{{c1::Ein System Software}} ist {{c2::eine aktive Struktur der Technologieebene als Software zur Integrierung, Inbetriebnahme und Kontrolle von Hardware}} für {{c3::die Speicherung, Ausführung und Nutzung von Software}}.	
"<p>Vorteile von Enterprise Architecture Management sind:</p>
<ul>
<li>{{c1::Ermöglichung der Transformation der Organisation}}</li>
<li>{{c1::Vorteile für die Kommunikation}}</li>
<li>{{c1::Vorteile für ökonomische Faktoren}}</li>
<li>{{c1::Vorteile für strategische Entscheidungen}}</li>
<li>{{c1::Vorteile im Bezug zur Flexibilität}}</li>
</ul>"	
"Frage:<br />
Was ist der Vertical Scope in der Architekturarbeit?"	Der Vertical Scope bestimmt den Detailgrad der Analyse über alle Architekturebenen oder Funktionsebenen hinweg.
{{c1::Der Vertical Scope}} ist {{c2::der Enterprise Architecture Scope im Bezug zum Detailgrad}}.	
"Frage:<br />
Was beschreibt der Architecture Layer Scope?"	Er definiert, welche Architekturebenen (z. B. Business, Application, Technology) im jeweiligen EAM-Vorhaben betrachtet werden. Der Scope ist vom Ziel abhängig und nicht zwingend umfassend.
{{c1::Der Architecture Layer Scope}} ist {{c2::der Enterprise Architecture Scope in Bezug zu den Architekturschichten}}. In {{c1::der Architecture Layer}} muss {{c3::der Scope sich nicht auf alle Schichten ausweiten}}, da {{c4::dies abhängig vom Ziel erfolgen sollte}}.	
"Beispiel:<br />
Enterprise Scope"	"<ul>
<li>funktionelle Organisation</li>
<li>geografische Verteilung</li>
<li>Geschäftsfeldorganisation</li>
</ul>"
"Frage:<br />
Was ist der Enterprise Scope in der Architekturarbeit?"	Der Enterprise Scope betrachtet die Ausdehnung über Organisationseinheiten (z. B. geografisch, funktional oder geschäftsfeldbasiert).
{{c1::Der Enterprise Scope}} ist {{c2::die Betrachtung des Enterprise Architecture Scopes aus Perspektive der Organisation}}.	
"wahr oder falsch:<br />
Die Existenz einer Enterprise Architecture reduziert automatisch die Komplexität der Unternehmenslandschaft."	"falsch:<br />
Enterprise Architecture macht Komplexität sichtbar und handhabbar, reduziert sie aber nicht automatisch. Enterprise Architecture kann sogar zusätzliche Komplexität erzeugen (z. B. durch die Dokumentation oder Governance)."
"wahr oder falsch:<br />
Eine Enterprise Architecture decke alle Aspekte eines Enterprises ab."	"falsch:<br />
Dies ist ein Mythos, da die Enterprise Architecture sich immer nur auf eine bestimmte Perspektive des Enterprises bezieht."
"wahr oder falsch:<br />
Eine Enterprise Architecture erzeugt Wert."	"falsch:<br />
Dies ist ein Mythos, da die Enterprise Architecture selber nicht Wert erzeugt, sondern ein Enabler für die Werteerzeugung ist."
"wahr oder falsch:<br />
Eine Enterprise Architecture ist stabil."	"falsch:<br />
Dies ist ein Mythos, da eine Enterprise Architecture sich ständig verändert und entwickelt."
"wahr oder falsch:<br />
Eine Enterprise Architecture muss nur einmalig erstellt werden."	"falsch:<br />
Dies ist ein Mythos, da eine Enterprise Architecture kontinuierlich gepflegt werden muss."
"wahr oder falsch:<br />
Eine Enterprise Architecture reduziert Komplexität."	"falsch:<br />
Dies ist ein Mythos, da die Enterprise Architecture selber nicht Komplexität reduziert, sondern ein Werkzeug ist, um mit Komplexität umzugehen."
"wahr oder falsch:<br />
Enterprise Architecture reduziert nicht Komplexität, sondern macht sie nur sichtbar."	"wahr:<br />
EAM visualisiert, strukturiert und analysiert Komplexität, eliminiert sie aber nicht direkt. Jedoch kann EAM indirekt zur Komplexitätsreduktion beitragen. Die eigentliche Reduktion erfolgt durch daraus abgeleitete Managemententscheidungen, nicht durch die Architekturmodelle selbst."
"wahr oder falsch:<br />
Eine Enterprise Architecture schafft  Wert für ein Unternehmen."	"falsch:<br />
Enterprise Architecture ist ein Mittel zur Wertgenerierung. Enterprise Architecture schafft keinen Wert, sondern unterstützt bessere Entscheidungen und koordinierte Veränderung."
"{{c1::Das Layer Concept}} ist {{c2::ein Konzept, in welchem die Komponenten einer Organisation in mehrere Schichten unterteilt werden können}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Exemplarische_Schichtendarstellung.png"" alt=""""><br />
Exemplarische Schichtendarstellung}}}}"	
"{{c1::Sales &amp; Operations Planning (S&amp;OP)}} ist {{c2::ein funktionsübergreifender taktischer Planungsprozess, der verschiedene Geschäftspläne zu einem integrierten Satz von Plänen vereint}}. Ziel {{c1::des Sales &amp; Operations Planning}} ist {{c3::die Schaffung einer Balance zwischen Angebot und Nachfrage}} durch {{c4::die Koordination von Bedarfsprognosen mit den operativen Bereichen und der Lieferkette}}.<br />
Das Ergebnis {{c1::des Sales &amp; Operations Planning}} ist {{c5::ein aggregierter abgestimmter Plan über die Funktionsbereiche hinweg}}.<br />
{{c1::{{c2::{{c3::{{c4::{{c5::<img src=""2023-Bild-Hellingrath-Sales_&_Operations_Planning.png"" alt=""""><br />
Sales &amp; Operations Planning}}}}}}}}}}"	
"<p>{{c1::Sales &amp; Operations Planning}} besteht aus mehreren Schritten:</p>
<ol>
<li>{{c2::Datensammlung}}: {{c2::Sammlung der für die Planung benötigten Daten}}</li>
<li>{{c2::Bedarfsplanung}}: {{c2::Erstellung einer Nachfrageprognose für den taktischen Zeithorizont}}</li>
<li>{{c2::Beschaffungsplanung und Produktionsplanung}}: {{c2::Anpassung der Bedarfs- und Produktionspläne}}</li>
<li>{{c3::Vorabstimmung}}: {{c3::Herstellung von Balance zwischen Angebot und Nachfrage}}</li>
<li>{{c3::Beschlussmeeting}}: {{c3::Überprüfung, Annahme und/oder Änderung der in der Vorabstimmung getroffenen Entscheidungen}}<br />
{{c1::{{c2::{{c3::<img src=""2023-Bild-Hellingrath-Sales_&_Operations_Planning.png"" alt=""""><br />
Sales &amp; Operations Planning}}}}}}</li>
</ol>"	
"Frage:<br />
Mit welchem Modellierungselement werden Compositions in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Komposition.png"" alt=""""><br />
<img src=""2025-Bild-Kalla-Beispiel_einer_Composition_in_ArchiMate.png"" alt="""">"
{{c1::Eine Komposition (Composition)}} ist {{c2::eine strukturelle Relation, welche eine Abhängigkeit zwischen einem Eltern-Element und einem Kind-Element darstellt}}. Sollte {{c3::das Eltern-Element}} in {{c1::einer Komposition}} gelöscht werden, wird auch {{c3::das Kind-Element}} gelöscht.	
"Beispiel:<br />
Repräsentation"	"<ul>
<li>HTML</li>
<li>PDF</li>
</ul>"
"Frage:<br />
Mit welchem Modellierungselement werden Representations in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Repraesentation.png"" alt="""">"
{{c1::Eine Repräsentation (Representation)}} ist {{c2::eine passive Struktur der Geschäftsebene als die Darstellung von Informationen in einem Business Object}}. {{c1::Eine Repräsentation}} wird immer {{c3::einem Business Object}} zugeordnet.	
"Frage:<br />
Mit welchem Modellierungselement werden Value Streams in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Value_Stream.png"" alt="""">"
"Frage:<br />
Was beschreibt ein Value Stream in ArchiMate?"	Ein Value Stream ist eine wertorientierte Sicht auf Aktivitäten, die zu einem gewünschten Ergebnis führen. Ein Value Stream ist sequenziell angeordnet und auf einen Nutzen ausgerichtet.
{{c1::Ein Wertestrom (Value Stream)}} ist {{c2::eine Sequenz von Aktivitäten, die ein Resultat für Dritte erzeugen}}.	
"Frage:<br />
Was ist das Hauptziel einer Enterprise Architecture?"	Die Unterstützung von rationaler Entscheidungsfindung durch die Analyse von Enterprise Architecture-Modellen zur Gewinnung entscheidungsrelevanter Informationen.
"Frage:<br />
Was ist eine Enterprise Architecture laut ISO/IEC/IEEE 2011?"	Die grundlegende Organisation eines Systems, verkörpert in seinen Komponenten, deren Beziehungen zueinander und zur Umgebung sowie den Prinzipien, die Design und Weiterentwicklung steuern.
"wahr oder falsch:<br />
Enterprise Architecture ist ein reines IT-Konzept zur Verwaltung von Systemlandschaften."	"falsch:<br />
EA ist interdisziplinär und umfasst Businesses, Prozesse, Organisationen, Informationen, Anwendungen und Technologien."
{{c1::Eine Unternehmensarchitektur (Enterprise Architecture)}} ist {{c2::die fundamentale Organisation von einem System in seine Komponenten und Beziehung zueinander, zur Umwelt sowie zu seinen Architekturprinzipien}}.	
{{c1::Die Enterprise Architecture}} wird durch {{c2::die Menge and Hardware, Software und Kommunikationsinfrastruktur, sowie Organisationsstrukturen und Geschäftsprozesse}} eines Unternehmens definiert.	
"Frage:<br />
Mit welchem Modellierungselement werden Business Processes in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Business_Process.png"" alt="""">"
{{c1::Ein Geschäftsprozess (Business Process)}} ist {{c2::ein Verhaltenskonzept der Geschäftsebene von einem Prozess von Aktivitäten in einer Organisation, die anhand von einem Produkt oder Service definiert werden}}.	
"Frage:<br />
Mit welchem Modellierungselement wird Material in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Material.png"" alt="""">"
{{c1::Material}} ist {{c2::ein physikalisches Objekt oder ein physikalisches Element}}.	
{{c1::Eine Beziehung (Relationship)}} ist {{c2::die Verbindung von Elementen, Objekten, Komponenten oder Ebenen}}.	
"Frage:<br />
Was sind typische Fragen der Kostenanalyse?"	"<ul>
<li>Welche Kosten sind mit der Nutzung der Anwendung X auf allen Ebenen eines Unternehmens verbunden?</li>
</ul>"
{{c1::Eine Kostenanalyse}} ist {{c2::eine qualitative Analyse über die Kosten durch Artefakte}}.	
"Beispiel:<br />
Aggregation"	"<ul>
<li>Betrachtung von Kundengruppen anstatt der Betrachtung individueller Kunden</li>
<li>Häufigkeitsverteilung</li>
</ul>"
"Frage:<br />
Mit welchem Modellierungselement werden Aggregationen in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Aggregation.png"" alt=""""><br />
<img src=""2025-Bild-Kalla-Aggregation_Beispiel.png"" alt="""">"
{{c1::Die Aggregation}} ist {{c2::die Komplexitätsreduktion durch die Zusammenfassung von Objekten und Objektbeziehungen}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Spezialisierungen in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Spezialisierung.png"" alt=""""><br />
<img src=""2025-Bild-Kalla-Spezialisierung_Beispiel.png"" alt="""">"
{{c1::Eine Spezialisierung}} ist {{c2::eine dynamische Relation zur Modellierung einer Spezifizierung von einem Element}}.	
{{c1::Ein Service (Dienst)}} ist {{c2::ist eine Menge an Funktionen und das daraus resultierende Verhalten, welche ein Objekt seiner Umwelt zu Verfügung stellt und dadurch Wert erzeugt}}. {{c1::Ein Service}} wird genutzt, um {{c3::Zustandsänderungen}} zu realisieren.	
"Frage:<br />
Mit welchem Modellierungselement werden Capabilities in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Capability.png"" alt="""">"
{{c1::Eine Fähigkeit (Capability)}} ist {{c2::Verhaltenskonzept als Fähigkeit einer aktiven Struktur}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Ressourcen in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Resource.png"" alt="""">"
{{c1::Eine Ressource}} ist {{c2::eine aktive Struktur, welches von einem Individuum oder einer Organisation besessen wird}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Principles in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Principle.png"" alt="""">"
{{c1::Ein Prinzip}} ist {{c2::eine Richtlinie, die etwas beschränkt}}.	
{{c1::Eine Risikoanalyse}} ist {{c2::eine qualitative Analyse zur Integrierung des Enterprise Risk and Security Management}}.	
"<p>{{c1::Eine Risikoanalyse}} besteht aus mehreren Schritten:</p>
<ol>
<li>{{c2::Definition und Eingrenzung der Analysedomäne}}</li>
<li>{{c3::Beschreibung der Risiken in der Analysedomäne durch Szenarien und Simulationen}}</li>
<li>{{c4::Bewertung dieser Risiken nach Schadenshöhe und Eintrittswahrscheinlichkeit}}</li>
<li>{{c5::Interpretation der Ergebnisse}}</li>
</ol>"	
"Frage:<br />
Mit welchem Modellierungselement werden Goals in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Goal.png"" alt="""">"
"{{c1::Ein Ziel (Zielsetzung)}} ist {{c2::ein erstrebenswerter und definierter Zustand, welcher durch eine Strategie umgesetzt wird}}.<br />
{{c1::{{c2::<img src=""2022-Bild-Wiesel-Ziele_Strategien_Massnahmen.png"" alt=""""><br />
Ziele, Strategien und Maßnahmen im Zusammenhang}}}}"	
"<p>{{c1::Ein Ziel}} besteht aus:</p>
<ol>
<li>{{c2::Zielinhalt: Konkretisierung des Zieles}}</li>
<li>{{c3::Zielausmaß: Minimierung, Maximierung, Fixierung und/oder Anspruchserfüllung eines Faktors}}</li>
<li>{{c4::zeitlicher Bezug}}</li>
<li>{{c5::sachlicher Geltungsbereich}}</li>
</ol>"	
"Frage:<br />
Mit welchem Modellierungselement werden Requirements in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Requirement.png"" alt="""">"
{{c1::Eine Anforderung}} ist {{c2::eine Aussage über ein Bedürfnis, eine Eigenschaft, eine Fähigkeit, eine Leistung oder eine Qualität, die von einem System erbracht werden muss, damit das System für einen Benutzer einen Nutzen und Wert besitzt}}.	
"<p>{{c1::Anforderungen}} können unterteilt werden in:</p>
<ul>
<li>{{c2::funktionale Anforderungen}}</li>
<li>{{c2::nicht-funktionale Anforderungen}}</li>
</ul>"	
"Frage:<br />
Welche Querschnittsphase begleitet alle Architecture Development Method-Phasen kontinuierlich?"	Requirements Management: Die Phase stellt sicher, dass alle Anforderungen aus Stakeholdersicht konsistent über alle Phasen hinweg verfolgt, bewertet und bei Bedarf angepasst werden.
"Frage:<br />
Welche Rolle spielt Requirements Management als Querschnittsprozess in der Architecture Development Method, und warum ist dieser für Konsistenz im EAM essenziell?"	Requirements Management sorgt dafür, dass Stakeholderanforderungen über alle Phasen hinweg konsistent erfasst, verwaltet und verifiziert werden. Es verknüpft Ziele, Architekturprinzipien, Entwurfsentscheidungen und Implementierungen und sichert so die Kohärenz der Architekturentwicklung über den gesamten Lebenszyklus hinweg.
{{c1::Anforderungsmanagement (Requirements Management)}} ist {{c2::die systematische Vorgehensweise, um alle relevanten Anforderungen zu definieren, spezifizieren, verifizieren, analysieren, zu vereinbaren, einem Projekt zuzuweisen und im Projekt zu verfolgen}}.	
{{c1::Das Anforderungsmanagement}} ist {{c2::eine kontinuierliche Phase des Architekturentwicklungszyklus}} zur {{c3::Sicherstellung, dass der Anforderungsmanagementprozess für alle Phasen der Architecture Development Method aufrechterhalten wird und funktioniert}}.	
"Frage:<br />
Was umfasst die Phase H: Architecture Change Management?"	Diese Phase sorgt für die Weiterentwicklung und Anpassung der Architektur im Betrieb. Sie erkennt Änderungsbedarfe, bewertet deren Relevanz und stößt, falls notwendig, einen neuen ADM-Zyklus an. Ziel ist ein lebendiger Architekturlebenszyklus.
"Frage:<br />
Welche Aufgaben erfüllt das Architecture Change Management in der ADM?"	Diese Phase stellt sicher, dass Änderungen im Unternehmen auf Auswirkungen auf die Architektur geprüft werden. Sie entscheidet, ob ein neuer ADM-Zyklus notwendig ist und etabliert einen geregelten Umgang mit Architekturänderungen im Betrieb.
{{c1::Das Architekturänderungsmanagement (Architecture Change Management)}} ist {{c2::die achte Phase eines Architekturentwicklungszyklus}} zur {{c3::Sicherstellung der Einhaltung des Architekturlebenszyklus}}.	
Durch {{c1::das Architekturänderungsmanagement}} wird bestimmt, ob {{c2::ein neuer Architekturentwicklungszyklus eingeleitet wird}}.	
"Frage:<br />
Was ist die Aufgabe der Phase G: Implementation Governance?"	Diese Phase begleitet die Implementierung der Architektur. Sie sichert Qualität, Konformität zu Architekturvorgaben und erlaubt Korrekturmaßnahmen bei Abweichungen.
{{c1::Die Governance der Umsetzung (Implementation Governance)}} ist {{c2::die siebte Phase eines Architekturentwicklungszyklus}} zur {{c3::Sicherstellung eines reibungslosen Übergangs von der Implementierung in die Steuerung}}.	
"Frage:<br />
Was ist das Ziel der Phase F: Migration Planning?"	Basierend auf der Architektur-Roadmap wird ein konkreter Migrationsplan entwickelt. Dabei werden Projekte, Abhängigkeiten, Ressourcen, Zeitpläne und Verantwortlichkeiten definiert und priorisiert.
{{c1::Die Migrationsplanung (Migration Planning) in der Architektur}} ist {{c2::die sechste Phase eines Architekturentwicklungszyklus}} zur {{c3::Fertigstellung der Architektur-Roadmap und des Implementierungs- und Migrationsplans}}.	
{{c1::Die Migrationsplanung}} soll sicherstellen, dass {{c2::der Implementierungs- und Migrationsplan mit den Stakeholdern koordiniert ist und der Mehrwert und die Kosten von diesen verstanden werden}}.	
"Frage:<br />
Was passiert in Phase E: Opportunities &amp; Solutions?"	Diese Phase identifiziert Umsetzungsoptionen, konsolidiert Architekturbausteine aus den vorherigen Phasen und entwickelt eine Architektur-Roadmap sowie Transition Architectures.
{{c1::Die Umsetzungsoptionen (Opportunities and Solutions)}} ist {{c2::die fünfte Phase eines Architekturentwicklungszyklus}} zur {{c3::Erstellung einer vollständigen Version der Architektur-Roadmap, basierend auf den Komponenten der Geschäftsarchitektur, Datenarchitektur, Anwendungsarchitektur und Technologiearchitektur}}.	
"Frage:<br />
Was ist der Zweck der Phase D: Technology Architecture?"	Die technische Infrastrukturarchitektur wird modelliert. Dazu gehören Hardware, Netzwerke, Plattformen, technische Services und Sicherheitskomponenten, welche die übergeordneten Architekturen technisch realisieren.
{{c1::Die Technologiearchitektur (Technology Architecture)}} ist {{c2::die vierte Phase eines Architekturentwicklungszyklus}} zur {{c3::Entwicklung einer Technologiearchitektur, welche die Architekturvision, Geschäftsarchitektur, Datenarchitektur und Anwendungsarchitektur durch Technologie realisiert}}.	
"Frage:<br />
Was ist die Aufgabe der Phase C: Information Systems Architecture?"	Ziel ist die Beschreibung des Zielbilds für das Informationssystem.
{{c1::Die Informationssystemarchitektur (Information Systems Architecture)}} ist {{c2::die dritte Phase eines Architekturentwicklungszyklus}} zur {{c3::Entwicklung einer Datenarchitektur, Anwendungsarchitektur und Durchführung einer Lückenanalyse zur Identifikation von Komponenten für die Architektur-Roadmap}}.	
{{c1::Die Entwicklungsreihenfolge der Datenarchitektur und Anwendungsarchitektur}} ist {{c2::von dem Fokus des Zielsystems}} abhängig.	
"Frage:<br />
Was ist der Zweck der Phase B: Business Architecture?"	Diese Phase analysiert die bestehende Geschäftsarchitektur (Ist-Zustand) und entwickelt eine fachlich getriebene Soll-Architektur. Sie legt die Grundlage für die Alignment-Analyse mit Anwendungs- und Technologiearchitektur.
{{c1::Die Geschäftsarchitektur (Business Architecture)}} ist {{c2::die zweite Phase eines Architekturentwicklungszyklus}} zur {{c3::Erarbeitung einer detaillierten Beschreibung und Unterstützung einer vereinbarten Architekturvision}}.	
Wichtige Ziele {{c1::der Geschäftsarchitektur}} sind {{c2::die Beschreibung der Ist-Architektur}}, {{c2::Entwicklung einer Soll-Architektur}} und {{c2::Auswahl relevanter Werkzeuge und Techniken zur Entwicklung dieser}}.	
"Frage:<br />
Was beantwortet die Architekturvision an typischen Fragen?"	"<ul>
<li>Welche Kunden und Regionen wird das neue Produkt ansprechen?</li>
<li>Wie sollte das Unternehmen die bestehenden Vertriebsprozesse und Anwendungssysteme ändern, um das neue Produkt auf den Markt zu bringen?</li>
<li>Wird das Unternehmen sein Umsatzmodell beibehalten und auf den bestehenden Vertriebskanälen aufbauen?</li>
</ul>"
"Frage:<br />
Was ist das Ziel der Phase A: Architecture Vision?"	In dieser Phase wird die übergreifende Architekturvision erstellt, basierend auf Business-Zielen, Stakeholder-Anforderungen und bestehenden Rahmenbedingungen. Sie liefert einen ersten Überblick über die Architekturziele und skizziert einen groben Zielzustand.
{{c1::Die Architekturvision (Architecture Vision)}} ist {{c2::die erste Phase eines Architekturentwicklungszyklus}} zur {{c3::Identifikation der Entwicklungsaspekte der Architektur, basierend auf den Bedürfnissen der Stakeholder, Anforderung an die Architektur und dem Architekturprinzip}}.	
"Frage:<br />
Was ist das Ziel der Preliminary Phase in TOGAF?"	Die Preliminary Phase dient der Vorbereitung des Architekturentwicklungszyklus. Sie umfasst die Definition des Frameworks, das Aufsetzen der Governance-Struktur, die Etablierung des Architekturteams sowie die Klärung des Scopes und der Prinzipien.
"Frage:<br />
Was ist die Aufgabe der Preliminary Phase in der ADM?"	"<p>Diese Vorbereitungsphase dient dem Aufbau der Architekturfähigkeit:</p>
<ul>
<li>Aufbau des Architektur-Teams</li>
<li>Auswahl des anzuwendenden Frameworks</li>
<li>Definition von Governance-Strukturen, Rollen und Prinzipien</li>
<li>Festlegung von Tools, Repository-Strukturen und Scope</li>
</ul>"
{{c1::Die Preliminary Phase (Vorbereitungsphase)}} ist {{c2::die Vorbereitungsphase des Architekturentwicklungszyklus zur Vorbereitung des Enterprise Architecture Framework zur Etablierung der Architekturfähigkeiten}}.	
"Frage:<br />
Warum ist die Architecture Development Method iterativ und zyklisch aufgebaut?"	Weil Architekturentwicklung kein linearer Prozess ist. Anforderungen, Rahmenbedingungen und Technologien ändern sich ständig, sodass sich die Architektur ebenfalls anpassen muss.
"Frage:<br />
Was ist die Architecture Development Method in TOGAF und welches Ziel verfolgt sie?"	Die Architecture Development Method ist ein iteratives Vorgehensmodell zur Entwicklung, Steuerung und Umsetzung von Unternehmensarchitekturen. Sie strukturiert den Lebenszyklus der Architektur in klar definierte Phasen und stellt sicher, dass strategische Ziele in Geschäftsarchitekturen überführt werden.
"Frage:<br />
Welche Phasen im TOGAF ADM ist in zwei Subphasen unterteilt?"	"Die Phase 4: Information Systems Architecture besteht aus den Subphasen ""Data Architecture"" und ""Application Architecture""."
"Frage:<br />
Welche Schwächen besitzt die Architecture Development Method von TOGAF in dynamischen, agilen Organisationen, und wie lassen sich diese durch hybride Ansätze kompensieren?"	ADM ist sequentiell, phasenorientiert und kann in agilen Umfeldern zu starr wirken. Hybride Ansätze kombinieren agile Delivery mit langfristiger Architekturführung und inkrementeller Modellpflege.
{{c1::Die Architecture Development Method (ADM, Architekturentwicklungszyklus)}} ist {{c2::die Arbeitsweise, die einzelnen Prozesse und Prozessschritte der Transformation einer Architektur und Architekturbeschreibung in TOGAF}}.	
{{c1::Die Architecture Development Method}} ist {{c2::ein iterativer Prozess}} mit insgesamt {{c2::9}} Phasen, welcher den Entwicklungsprozess der Architektur leitet.	
"<p>Die Architecture Development Method besteht aus:</p>
<ol>
<li>{{c1::Preliminary Phase}}</li>
<li>Entwicklung von Architekturbeschreibungen<br />
2.1. {{c2::Architekturvision}}<br />
2.2. {{c2::Geschäftsarchitektur}}<br />
2.3. {{c2::Informationssystemarchitektur}}<br />
2.4. {{c2::Technologiearchitektur}}</li>
<li>Transformationsplanung, Steuerung und Realisierung<br />
3.1. {{c3::Umsetzungsoptionen}}<br />
3.2. {{c3::Migrationsplanung}}<br />
3.3. {{c3::Governance der Umsetzung}}<br />
3.4. {{c3::Architekturänderungsmanagement}}</li>
</ol>"	
"Frage:<br />
Was ist ein Architekturprinzip und woraus besteht es typischerweise?"	"<p>Ein Architekturprinzip ist eine normative Leitlinie zur Gestaltung von Architekturen.<br />
Es besteht aus:</p>
<ol>
<li>Name</li>
<li>Statement (Kernaussage)</li>
<li>Rationale (Begründung)</li>
<li>Implications (Konsequenzen/Zielzustand)</li>
</ol>"
"Frage:<br />
Welche vier Bestandteile sollte ein Architekturprinzip enthalten?"	"<ol>
<li>Name</li>
<li>Statement (Kernaussage)</li>
<li>Rationale (Begründung)</li>
<li>Implications (Konsequenzen/Zielzustand)</li>
</ol>"
"Frage:<br />
Wie kann die Durchsetzung von Architekturprinzipien in einem unternehmenskritischen Transformationsprojekt sichergestellt werden, ohne Innovation und Geschwindigkeit zu hemmen?"	Erforderlich sind eine priorisierte Prinzipien mit klarer Zielwirkung, eine aktive Rolle des Architecture Review Boards, frühzeitige Kommunikation im Projekt und definierte Eskalationspfade für begründete Abweichungen. Prinzipien dürfen nicht dogmatisch, sondern müssen zielgerichtet und risikobasiert eingesetzt werden.
"wahr oder falsch:<br />
Architekturprinzipien dürfen vage formuliert sein, um Interpretationsspielraum zu lassen."	"falsch:<br />
Prinzipien sollten klar, prägnant und technologieunabhängig formuliert sein."
{{c1::Ein Architekturprinzip}} ist {{c2:: eine Rahmenbedingungen, welche grundlegend für die Entwicklung von IT-Architekturen ist}}. Architekturprinzipien definieren und informieren darüber, wie eine Organisation diese nutzt, um ihre Ziele zu erreichen.	
